LineId,Date,Time,Level,Component,Content,EventTemplate,EventId
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,8c7b6197
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),WcpInitialize (wcp.dll version 0.0.0.6) called (stack,c9815a7b
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),WcpInitialize (wcp.dll version 0.0.0.6) called (stack,c9815a7b
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),WcpInitialize (wcp.dll version 0.0.0.6) called (stack,c9815a7b
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,<*>,ff52c40c
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.,ddb70245
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,<*>,ff52c40c
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,SQM: Initializing online with Windows opt-in: False,492269e4
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,SQM: Cleaning up report files older than 10 days.,88c7a286
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,7e5b1617
11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: [HRESULT = - E_FAIL]",46d389f4
12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = - E_FAIL],f288a49d
13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",500cb726
14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = - E_FAIL],52e1fcef
15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",6342ae85
16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,b756d24a
17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90","00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",eeebd5c9
18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""","Creating NT transaction (seq objectname [6]""(null)""",8750082a
19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",Created NT transaction (seq result handle,3b43fe60
20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,00000007@2016/9/27:20:30:31.462 CSI perf trace:,8f943dec
21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.",c7e0e082
22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,Startup processing thread terminated normally,0249909f
23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,00000008 CSI Store 4991456 (initialized,f9175e1a
24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,Session: initialized by client WindowsUpdateAgent.,0093dfa1
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,Session: initialized by client WindowsUpdateAgent.,0093dfa1
26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Expecting attribute name [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],a80a94eb
50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Failed to get next element [HRESULT = - CBS_E_MANIFEST_INVALID_ITEM],71c8e0c3
51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,39b783c8
